kld,val_kld
6.714471668884571e-05,6.854561920044943e-05
6.715476118390345e-05,6.933171657146886e-05
6.715505237096092e-05,6.57006879337132e-05
6.71485237027001e-05,6.598143238807098e-05
6.714859599661496e-05,6.567863980308175e-05
6.715191777200541e-05,6.68465323979035e-05
6.715085551453133e-05,6.681492150528357e-05
6.715742391922201e-05,6.863419548608363e-05
6.715891232791667e-05,6.618858984438702e-05
6.715947086276073e-05,6.971876986790448e-05
6.716457897305695e-05,6.515276426216587e-05
6.715514664150153e-05,6.54337159357965e-05
6.716148489310096e-05,6.91894106566906e-05
6.716574169048626e-05,6.53345879400149e-05
6.71572332115223e-05,6.58282731892541e-05
6.715969550552675e-05,6.52645697700791e-05
6.716414984031063e-05,6.547021417645738e-05
6.716194699725343e-05,6.615809054346755e-05
6.715830288077188e-05,6.535442499443889e-05
6.716547916746802e-05,6.862871831981465e-05
6.717199714492179e-05,6.407012994168326e-05
6.716740836984375e-05,7.030975777888671e-05
6.717675897784324e-05,6.621739052934573e-05
6.717081414535642e-05,6.563977134646848e-05
6.717026871370359e-05,6.63681928999722e-05
6.717040568926476e-05,6.517977698240429e-05
6.717266481266254e-05,6.660184683278203e-05
6.717446340351469e-05,7.007879699813202e-05
6.718004641071376e-05,6.403387244790792e-05
6.717108080111857e-05,7.069448009133338e-05
6.71800557239395e-05,6.58915025414899e-05
6.717411840670846e-05,6.48321988992393e-05
6.717622842148153e-05,6.704337731935084e-05
6.717993740716742e-05,7.02731316559948e-05
6.718887088613378e-05,7.008790469262749e-05
6.718648479242498e-05,6.544295564526691e-05
6.718278599307975e-05,6.891689397161826e-05
6.719261530088261e-05,7.04468775074929e-05
6.719715483874704e-05,7.006199413444847e-05
6.719288938782282e-05,6.884775491198525e-05
6.719190197893315e-05,7.044076599413529e-05
